,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
32,33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
33,34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
34,35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
35,36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
36,37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
37,38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,59
38,39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
39,40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
40,41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,65
41,42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
42,43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
43,44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
44,45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
45,46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
46,47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
47,48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5
48,49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
49,50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
50,51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
51,52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
52,53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,64
53,54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
54,55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
55,56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
56,57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
57,58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
58,59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
59,60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
60,61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
61,62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
62,63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
63,64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
64,65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
65,66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
66,67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,52
67,68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
68,69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
69,70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
70,71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
71,72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
72,73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
73,74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
74,75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
75,76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
76,77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
77,78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
78,79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
79,80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
80,81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
81,82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,97
82,83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
83,84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
84,85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
85,86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
86,87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,182
87,88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
88,89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
89,90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
90,91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
91,92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
92,93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
93,94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6
94,95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2
95,96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
96,97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
97,98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33
98,99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,88
99,100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
100,101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,115
101,102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,57
102,103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
103,104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
104,105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
105,106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
106,107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
107,108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
108,109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,190
109,110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
110,111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
111,112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
112,113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
113,114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,42
114,115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
115,116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
116,117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
117,118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
118,119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1
119,120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
120,121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
121,122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
122,123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
123,124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
124,125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
125,126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
126,127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
127,128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
128,129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
129,130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
130,131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
131,132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
132,133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
133,134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
134,135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
135,136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
136,137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
137,138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
138,139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
139,140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,7
140,141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1
141,142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
142,143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
143,144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
144,145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
145,146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,210
146,147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
147,148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,63
148,149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,67
149,150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,59
150,151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
151,152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,50
152,153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
153,154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
154,155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
155,156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
156,157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,95
157,158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
158,159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39
159,160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,36
160,161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,15
161,162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,25
162,163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
163,164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
164,165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7
165,166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1
166,167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
167,168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
168,169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
169,170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
170,171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
171,172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,61
172,173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
173,174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
174,175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
175,176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
176,177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
177,178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
178,179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
179,180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
180,181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
181,182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
182,183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
183,184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
184,185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
185,186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
186,187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
187,188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
188,189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
189,190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
190,191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
191,192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
192,193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,6
193,194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
194,195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
195,196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
196,197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
197,198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
198,199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
199,200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
200,201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,82
201,202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
202,203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
203,204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
204,205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
205,206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
206,207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
207,208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
208,209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6
209,210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
210,211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
211,212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
212,213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
213,214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
214,215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
215,216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
216,217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
217,218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
218,219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
219,220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
220,221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
221,222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
222,223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
223,224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47
224,225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,45
225,226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
226,227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
227,228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,155
228,229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
229,230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
230,231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,38
231,232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
232,233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
233,234,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
234,235,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
235,236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3
236,237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
237,238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
238,239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
239,240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
240,241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,130
241,242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
242,243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
243,244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
244,245,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
245,246,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
246,247,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,47
247,248,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
248,249,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
249,250,2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
250,251,2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
251,252,2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32
252,253,2011-01-11,1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20
253,254,2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
254,255,2011-01-11,1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,19
255,256,2011-01-12,1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7
256,257,2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
257,258,2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
258,259,2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
259,260,2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
260,261,2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
261,262,2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
262,263,2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
263,264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
264,265,2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
265,266,2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
266,267,2011-01-12,1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49
267,268,2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
268,269,2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
269,270,2011-01-12,1,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,68
270,271,2011-01-12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
271,272,2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
272,273,2011-01-12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
273,274,2011-01-12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
274,275,2011-01-12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
275,276,2011-01-12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
276,277,2011-01-12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
277,278,2011-01-13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
278,279,2011-01-13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
279,280,2011-01-13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
280,281,2011-01-13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
281,282,2011-01-13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
282,283,2011-01-13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
283,284,2011-01-13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
284,285,2011-01-13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
285,286,2011-01-13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,202
286,287,2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
287,288,2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
288,289,2011-01-13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
289,290,2011-01-13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
